date,cheveux,age,exp,salaire,sexe,diplome,specialite,note,dispo,embauche
02/06/2012,roux,25.0,9.0,26803.0,F,licence,geologie,97.08,non,0
21/04/2011,blond,35.0,13.0,38166.0,M,licence,forage,63.86,non,0
07/09/2012,blond,29.0,13.0,35207.0,M,licence,geologie,78.5,non,0
01/07/2011,brun,,12.0,32442.0,M,licence,geologie,45.09,non,0
07/08/2012,roux,35.0,6.0,28533.0,F,licence,detective,81.91,non,0
12/02/2014,chatain,37.0,8.0,38558.0,M,master,geologie,63.46,non,1
11/11/2013,brun,33.0,12.0,39476.0,M,master,geologie,50.2,oui,0
10/03/2012,roux,31.0,10.0,42392.0,M,licence,forage,62.2,oui,0
17/10/2014,chatain,43.0,10.0,28625.0,M,doctorat,geologie,65.17,non,1
04/06/2011,chatain,28.0,11.0,32454.0,M,master,forage,66.93,non,1
06/08/2014,brun,50.0,12.0,38516.0,F,licence,geologie,58.93,non,0
22/04/2010,blond,43.0,8.0,38719.0,M,master,archeologie,80.07,oui,0
23/10/2011,brun,44.0,9.0,28688.0,M,doctorat,forage,115.76,oui,0
25/06/2014,brun,39.0,4.0,30822.0,F,licence,geologie,66.85,non,0
15/10/2011,roux,23.0,14.0,33882.0,M,licence,geologie,61.46,non,0
12/07/2010,brun,38.0,3.0,40889.0,M,master,geologie,62.85,oui,0
05/02/2012,brun,31.0,10.0,28507.0,M,doctorat,forage,104.26,oui,0
03/07/2010,blond,37.0,13.0,41512.0,M,bac,geologie,55.91,non,0
21/07/2010,blond,35.0,14.0,30359.0,M,licence,geologie,94.58,non,0
22/07/2014,chatain,44.0,8.0,28956.0,M,master,geologie,74.82,non,0
12/02/2010,brun,31.0,12.0,34483.0,M,master,forage,66.27,oui,0
22/05/2014,chatain,30.0,10.0,39069.0,F,licence,forage,65.19,non,0
04/01/2010,brun,39.0,13.0,34632.0,M,master,geologie,81.35,non,0
20/03/2012,brun,31.0,8.0,41582.0,M,licence,geologie,58.94,non,0
16/01/2012,blond,35.0,8.0,30782.0,F,licence,geologie,90.31,non,0
13/05/2014,chatain,31.0,12.0,33238.0,F,master,detective,70.39,non,0
12/04/2013,brun,33.0,8.0,,F,licence,detective,56.99,non,0
18/06/2013,brun,42.0,8.0,30641.0,F,licence,geologie,78.89,non,0
02/01/2010,chatain,27.0,13.0,31505.0,F,master,archeologie,88.33,non,0
25/07/2010,chatain,19.0,9.0,31357.0,M,doctorat,detective,88.69,oui,0
21/03/2010,brun,19.0,4.0,39031.0,M,master,geologie,57.48,oui,0
29/05/2014,chatain,40.0,13.0,37495.0,M,doctorat,geologie,80.86,oui,0
05/02/2012,chatain,43.0,7.0,37579.0,M,doctorat,geologie,91.15,oui,0
03/09/2012,blond,28.0,13.0,34485.0,F,licence,forage,76.94,non,0
21/06/2010,blond,38.0,6.0,41909.0,M,licence,geologie,87.76,oui,1
04/11/2011,chatain,43.0,8.0,46245.0,M,licence,geologie,49.39,non,0
01/08/2010,brun,49.0,8.0,38020.0,M,master,forage,60.63,oui,0
10/01/2013,brun,26.0,11.0,31759.0,F,master,forage,102.66,non,1
14/06/2013,blond,59.0,7.0,40397.0,M,licence,forage,60.42,oui,0
08/11/2014,chatain,37.0,6.0,27002.0,M,master,forage,55.83,non,1
23/04/2013,brun,41.0,8.0,34359.0,F,bac,geologie,56.41,non,0
